Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,525682,-,-,-,31.49,-103.38,-6,784,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature,GHI
2016,1,1,0,30,0,0,2,0
2016,1,1,1,30,0,0,2,0
2016,1,1,2,30,0,0,1,0
2016,1,1,3,30,0,0,1,0
2016,1,1,4,30,0,0,1,0
2016,1,1,5,30,0,0,0,0
2016,1,1,6,30,0,0,0,0
2016,1,1,7,30,0,0,0,0
2016,1,1,8,30,8,0,0,8
2016,1,1,9,30,32,0,1,32
2016,1,1,10,30,83,0,2,83
2016,1,1,11,30,73,0,3,73
2016,1,1,12,30,134,0,4,134
2016,1,1,13,30,99,0,4,99
2016,1,1,14,30,50,0,5,50
2016,1,1,15,30,61,0,4,61
2016,1,1,16,30,35,0,3,35
2016,1,1,17,30,8,0,2,8
2016,1,1,18,30,0,0,1,0
2016,1,1,19,30,0,0,1,0
2016,1,1,20,30,0,0,0,0
2016,1,1,21,30,0,0,0,0
2016,1,1,22,30,0,0,0,0
2016,1,1,23,30,0,0,0,0
2016,1,2,0,30,0,0,0,0
2016,1,2,1,30,0,0,0,0
2016,1,2,2,30,0,0,0,0
2016,1,2,3,30,0,0,0,0
2016,1,2,4,30,0,0,0,0
2016,1,2,5,30,0,0,0,0
2016,1,2,6,30,0,0,0,0
2016,1,2,7,30,0,0,0,0
2016,1,2,8,30,38,329,1,73
2016,1,2,9,30,52,0,2,52
2016,1,2,10,30,102,0,3,102
2016,1,2,11,30,135,0,5,135
2016,1,2,12,30,238,35,6,258
2016,1,2,13,30,236,34,7,256
2016,1,2,14,30,165,3,8,166
2016,1,2,15,30,97,0,7,97
2016,1,2,16,30,57,0,6,57
2016,1,2,17,30,14,0,5,14
2016,1,2,18,30,0,0,3,0
2016,1,2,19,30,0,0,2,0
2016,1,2,20,30,0,0,2,0
2016,1,2,21,30,0,0,1,0
2016,1,2,22,30,0,0,0,0
2016,1,2,23,30,0,0,0,0
2016,1,3,0,30,0,0,0,0
2016,1,3,1,30,0,0,0,0
2016,1,3,2,30,0,0,0,0
2016,1,3,3,30,0,0,-1,0
2016,1,3,4,30,0,0,-1,0
2016,1,3,5,30,0,0,-2,0
2016,1,3,6,30,0,0,-2,0
2016,1,3,7,30,0,0,-1,0
2016,1,3,8,30,38,65,0,45
2016,1,3,9,30,117,122,2,151
2016,1,3,10,30,123,575,5,368
2016,1,3,11,30,75,939,7,569
2016,1,3,12,30,80,958,9,633
2016,1,3,13,30,78,960,10,631
2016,1,3,14,30,74,938,10,563
2016,1,3,15,30,65,887,10,435
2016,1,3,16,30,52,770,9,260
2016,1,3,17,30,27,467,7,70
2016,1,3,18,30,0,0,6,0
2016,1,3,19,30,0,0,6,0
2016,1,3,20,30,0,0,5,0
2016,1,3,21,30,0,0,4,0
2016,1,3,22,30,0,0,4,0
2016,1,3,23,30,0,0,3,0
2016,1,4,0,30,0,0,2,0
2016,1,4,1,30,0,0,1,0
2016,1,4,2,30,0,0,1,0
2016,1,4,3,30,0,0,0,0
2016,1,4,4,30,0,0,0,0
2016,1,4,5,30,0,0,0,0
2016,1,4,6,30,0,0,0,0
2016,1,4,7,30,0,0,0,0
2016,1,4,8,30,30,476,1,80
2016,1,4,9,30,55,763,4,270
2016,1,4,10,30,67,878,6,441
2016,1,4,11,30,74,933,9,566
2016,1,4,12,30,82,943,10,628
2016,1,4,13,30,84,936,11,625
2016,1,4,14,30,82,903,11,555
2016,1,4,15,30,78,808,11,417
2016,1,4,16,30,64,667,9,246
2016,1,4,17,30,32,349,7,65
2016,1,4,18,30,0,0,6,0
2016,1,4,19,30,0,0,6,0
2016,1,4,20,30,0,0,5,0
2016,1,4,21,30,0,0,4,0
2016,1,4,22,30,0,0,3,0
2016,1,4,23,30,0,0,2,0
2016,1,5,0,30,0,0,1,0
2016,1,5,1,30,0,0,1,0
2016,1,5,2,30,0,0,1,0
2016,1,5,3,30,0,0,2,0
2016,1,5,4,30,0,0,2,0
2016,1,5,5,30,0,0,2,0
2016,1,5,6,30,0,0,1,0
2016,1,5,7,30,0,0,1,0
2016,1,5,8,30,38,298,3,69
2016,1,5,9,30,78,600,5,247
2016,1,5,10,30,180,58,8,205
2016,1,5,11,30,248,173,11,339
2016,1,5,12,30,278,188,12,388
2016,1,5,13,30,265,295,13,436
2016,1,5,14,30,112,802,13,533
2016,1,5,15,30,99,736,13,409
2016,1,5,16,30,74,611,12,243
2016,1,5,17,30,35,305,9,65
2016,1,5,18,30,0,0,7,0
2016,1,5,19,30,0,0,6,0
2016,1,5,20,30,0,0,5,0
2016,1,5,21,30,0,0,4,0
2016,1,5,22,30,0,0,4,0
2016,1,5,23,30,0,0,4,0
2016,1,6,0,30,0,0,3,0
2016,1,6,1,30,0,0,3,0
2016,1,6,2,30,0,0,3,0
2016,1,6,3,30,0,0,4,0
2016,1,6,4,30,0,0,3,0
2016,1,6,5,30,0,0,3,0
2016,1,6,6,30,0,0,3,0
2016,1,6,7,30,0,0,3,0
2016,1,6,8,30,38,70,5,45
2016,1,6,9,30,118,144,7,159
2016,1,6,10,30,190,175,9,265
2016,1,6,11,30,241,255,11,377
2016,1,6,12,30,158,675,13,550
2016,1,6,13,30,88,908,15,615
2016,1,6,14,30,218,384,16,420
2016,1,6,15,30,100,665,15,382
2016,1,6,16,30,73,570,13,232
2016,1,6,17,30,28,464,10,74
2016,1,6,18,30,0,0,8,0
2016,1,6,19,30,0,0,7,0
2016,1,6,20,30,0,0,7,0
2016,1,6,21,30,0,0,6,0
2016,1,6,22,30,0,0,6,0
2016,1,6,23,30,0,0,6,0
2016,1,7,0,30,0,0,5,0
2016,1,7,1,30,0,0,4,0
2016,1,7,2,30,0,0,4,0
2016,1,7,3,30,0,0,3,0
2016,1,7,4,30,0,0,3,0
2016,1,7,5,30,0,0,3,0
2016,1,7,6,30,0,0,3,0
2016,1,7,7,30,0,0,4,0
2016,1,7,8,30,29,481,6,79
2016,1,7,9,30,52,772,10,270
2016,1,7,10,30,64,886,13,443
2016,1,7,11,30,71,940,15,570
2016,1,7,12,30,281,151,16,370
2016,1,7,13,30,75,960,17,634
2016,1,7,14,30,72,935,17,567
2016,1,7,15,30,66,877,17,440
2016,1,7,16,30,54,755,15,266
2016,1,7,17,30,30,452,11,76
2016,1,7,18,30,0,0,9,0
2016,1,7,19,30,0,0,9,0
2016,1,7,20,30,0,0,8,0
2016,1,7,21,30,0,0,7,0
2016,1,7,22,30,0,0,6,0
2016,1,7,23,30,0,0,6,0
2016,1,8,0,30,0,0,5,0
2016,1,8,1,30,0,0,4,0
2016,1,8,2,30,0,0,4,0
2016,1,8,3,30,0,0,4,0
2016,1,8,4,30,0,0,4,0
2016,1,8,5,30,0,0,4,0
2016,1,8,6,30,0,0,4,0
2016,1,8,7,30,0,0,4,0
2016,1,8,8,30,37,94,6,47
2016,1,8,9,30,116,161,8,162
2016,1,8,10,30,96,690,10,391
2016,1,8,11,30,112,760,11,516
2016,1,8,12,30,282,194,12,395
2016,1,8,13,30,241,33,13,261
2016,1,8,14,30,83,864,12,543
2016,1,8,15,30,153,450,11,346
2016,1,8,16,30,99,391,10,210
2016,1,8,17,30,37,225,8,61
2016,1,8,18,30,0,0,7,0
2016,1,8,19,30,0,0,6,0
2016,1,8,20,30,0,0,5,0
2016,1,8,21,30,0,0,4,0
2016,1,8,22,30,0,0,3,0
2016,1,8,23,30,0,0,3,0
